time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open,ADAUSDT_Open,BNBUSDT_Open,LINKUSDT_Open,TRXUSDT_Open,XRPUSDT_Open,USDCUSDT_Open
2023-09-12,25162.53,1551.84,17.72,0.06047,0.2421,206.2,5.827,0.07755,0.4744,1.0003
2023-09-13,25840.1,1592.97,17.91,0.0609,0.2455,210.8,5.958,0.08075,0.4804,1.0
2023-09-14,26222.0,1607.61,18.4,0.06125,0.2487,212.5,6.021,0.08122,0.4833,0.9999
2023-09-15,26522.73,1626.48,18.85,0.06207,0.2514,212.2,6.152,0.08376,0.4892,0.9998
2023-09-16,26599.99,1641.3,19.15,0.0625,0.2506,214.1,6.367,0.08405,0.5004,1.0
2023-09-17,26559.67,1634.4,19.12,0.06213,0.2503,214.9,6.279,0.08352,0.4997,0.9999
2023-09-18,26527.5,1622.48,18.81,0.06146,0.2471,216.4,6.146,0.08334,0.4925,0.9998
2023-09-19,26762.5,1636.66,19.65,0.06196,0.2515,216.0,6.566,0.08388,0.503,0.9998
2023-09-20,27210.25,1643.13,20.02,0.06269,0.2548,217.2,6.846,0.08455,0.5139,0.9999
2023-09-21,27125.01,1622.27,20.29,0.06263,0.2517,214.3,6.907,0.08443,0.5213,1.0
2023-09-22,26568.08,1583.94,19.45,0.0613,0.245,210.8,6.665,0.08301,0.5072,1.0001
2023-09-23,26580.14,1593.07,19.42,0.06153,0.245,211.1,6.959,0.08333,0.5122,1.0
2023-09-24,26575.97,1593.85,19.48,0.06152,0.246,210.4,7.189,0.08361,0.5076,0.9999
2023-09-25,26248.39,1580.71,19.36,0.06068,0.2428,208.3,6.972,0.08359,0.502,0.9999
2023-09-26,26304.8,1588.34,19.39,0.06095,0.2459,210.0,7.494,0.08466,0.5056,1.0002
2023-09-27,26221.68,1594.02,19.03,0.06062,0.2455,212.6,7.355,0.08471,0.5019,1.0004
2023-09-28,26373.0,1598.63,19.13,0.06052,0.2447,212.1,7.641,0.08549,0.4993,1.0007
2023-09-29,27021.39,1653.0,19.97,0.06151,0.249,215.0,7.81,0.08674,0.5097,1.0002
2023-09-30,26906.96,1667.45,20.28,0.06213,0.2494,215.2,7.947,0.08912,0.5215,1.0001
2023-10-01,26962.57,1670.89,21.37,0.06207,0.254,214.6,8.19,0.0886,0.5148,0.9999
2023-10-02,27992.58,1733.8,23.88,0.0632,0.2659,218.2,8.053,0.09011,0.524,1.0002
2023-10-03,27494.51,1662.41,23.38,0.06201,0.2591,214.6,7.472,0.08744,0.5122,0.9998
2023-10-04,27426.45,1656.88,23.61,0.06138,0.2609,213.5,7.408,0.0907,0.5391,1.0
2023-10-05,27778.57,1646.58,23.13,0.06146,0.259,213.4,7.673,0.08891,0.5326,1.0
2023-10-06,27410.39,1611.79,22.7,0.06087,0.2603,210.7,7.469,0.08824,0.5227,1.0
2023-10-07,27931.1,1645.03,23.41,0.06136,0.2646,213.4,7.64,0.0872,0.5255,0.9996
2023-10-08,27956.67,1633.56,23.29,0.06143,0.2588,212.2,7.521,0.08807,0.5216,0.9994
2023-10-09,27917.06,1632.85,23.21,0.06095,0.2564,211.3,7.671,0.08803,0.5174,0.9995
2023-10-10,27590.12,1580.13,22.09,0.05872,0.2513,205.9,7.276,0.08613,0.5027,0.9998
2023-10-11,27390.12,1567.62,22.11,0.05914,0.2491,208.6,7.259,0.08622,0.4964,1.0
2023-10-12,26875.52,1566.86,22.01,0.05851,0.2481,206.6,7.39,0.08603,0.4889,1.0003
2023-10-13,26759.63,1539.61,21.29,0.05789,0.2461,205.1,7.198,0.08481,0.4831,1.0003
2023-10-14,26862.0,1552.16,21.85,0.05839,0.2459,206.1,7.257,0.08549,0.4852,1.0002
2023-10-15,26852.48,1554.94,22.0,0.05984,0.247,206.5,7.331,0.085,0.4866,1.0001
